FID_1,OBJECTID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,geometry,geometry2,Abelmoschus.esculentus,Actinidia.deliciosa,Anacardium.occidentale,Bertholletia.excelsa.Bonpl,Brassica.napus,Brassica.nigra,Castanea_sativa_Mill,Citrullus.lanatus,Cocos.nucifera,Coffea.arabica,Coffea.canephora,Coffea.liberica,Cola.acuminata,Cola.nitida,Cucumis.melo,Cucumis.sativus,Cucurbita.maxima,Cucurbita.moschata,Cucurbita.pepo,Elettaria.cardamomum,Fagopyrum.esculentum,Fragaria.ananassa,Fragaria.chiloensis,Fragaria.moschata,Fragaria.virginiana,Fragaria.viridis,Fragaria_vesca,Glycine.max,Glycine.soja,Gossypium.arboreum,Gossypium.barbadense,Gossypium.herbaceum,Gossypium.hirsutum,Helianthus.annuus,Malus.domestica,Mangifera.indica,Myristica.fragrans,Persea.americana,Prunus.armeniaca,Prunus.cerasus,Prunus.domestica,Prunus.persica,Prunus_avium,Prunus_spinosa,Pyrus.communis,Ribes.nigrum,Ribes.rubrum,Rubus.chamaemorus,Rubus.flagellaris,Rubus_idaeus,Sesamum.indicum,Sinapis.alba,Solanum.melongena,Theobroma.cacao,Vaccinium.angustifolium,Vaccinium.corymbosum,Vaccinium.oxycoccus,Vaccinium_myrtillus,Vanilla.planifolia,Vanilla.pompona,Vicia.faba,number of crops
1209,2200,Nonthaburi,THA-NNT,Nonthaburi,TH,Thailand,Provincial capital,797739,3,"500,000 to 999,999",0,1,UN_Data_2010_2020,c(100.519857333236, 13.848039071697),1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11
1210,2201,Bangkok,THA-KTH,Krung Thep,TH,Thailand,National and provincial capital,8305218,1,"5,000,000 and greater",57450,0,UN_Data_2010_2020,c(100.516671441832, 13.7500019185316),1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11
1211,2202,Chachoengsao,THA-CHC,Chachoengsao,TH,Thailand,Provincial capital,206250,5,"100,000 to 249,999",0,1,UN_Data_2010_2020,c(101.076003396209, 13.6790009891313),1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11
1212,2203,Samut Prakan,THA-SPR,Samut Prakan,TH,Thailand,Provincial capital,1082993,2,"1,000,000 to 4,999,999",0,1,UN_Data_2010_2020,c(100.6039983271, 13.5880020214689),1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11
1214,2205,Chon Buri,THA-CBU,Chon Buri,TH,Thailand,Provincial capital,1158989,2,"1,000,000 to 4,999,999",0,1,UN_Data_2010_2020,c(100.987002312762, 13.367996957719),1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11
1216,2207,Kanchanaburi,THA-KNC,Kanchanaburi,TH,Thailand,Provincial capital,292521,4,"250,000 to 499,999",0,1,UN_Data_2010_2020,c(99.5166993636651, 14.0333039854185),1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11
1230,2221,Prachin Buri,THA-PBU,Prachin Buri,TH,Thailand,Provincial capital,77645,6,"50,000 to 99,999",0,1,UN_Data_2010_2020,c(101.377998331739, 14.048999944996),1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11
1233,2224,Rayong,THA-RYN,Rayong,TH,Thailand,Provincial capital,445939,4,"250,000 to 499,999",0,1,UN_Data_2010_2020,c(101.285001314377, 12.6770040529121),1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11
1274,2265,Haiphong,VNM-HPH,Hai Phong,VM,Vietnam,Other,1280000,2,"1,000,000 to 4,999,999",57680,0,UN_Habitat_2020,c(106.679790443346, 20.8613520499551),1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11
1460,2451,Tokyo,JPN-KNT,Kanto,JA,Japan,National and provincial capital,9272740,1,"5,000,000 and greater",61380,0,UN_Data_2010_2020,c(139.809006365241, 35.683002048058),0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
